"源字段","源字段中文注释","源别名","Facts作用域","JOIN直接对侧字段","同一表达式/分组其他来源字段","用途","不同消费任务数","不同SQL材料组数","任务ID","条件/表达式示例","任务级证据ID","细粒度Facts证据ID","统计口径与分母"
"bel_dept","所属部门","rb","root.srctab.setop.b0.setop.b0.setop.b1","","pdata_n.t03_otc_swap_comp_info.comp_usag_cd；pdata_n.t03_otc_swap_comp_leg_info.res_flag；pdata_n.t03_otc_swap_comp_leg_info.res_type；pdata_n.t98_otc_swap_comp_trd_undrl_info.crrc_cd；pdata_n.t98_otc_swap_comp_trd_undrl_info.src_scr_type_cd；pdata_n.t98_sb_otc_swap_comp_info.strt_pric_date；pdata_n.t98_sb_otc_swap_comp_info.swap_type_cd","条件/回退取值","1","1","241773","if( rt.strt_pric_date <= '2025-03-31' -- 旧版 , case when rb.bel_dept = 'OTC_HK' and rt.swap_type_cd = 'CROSS_LEND_SWAP' then 'tag074452414' -- TRS_CROSS_LEND_SWAP 跨境借券 when rb.bel_dept = 'OTC_HK' and rt.swap_type_cd = 'HK_LONG_HOLD_SWAP' the","E-241773","FU-241773-b1de45bfa88f","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"bel_dept","所属部门","srctab","root","dm_index_n.tag_def.tag_id","pdata_n.t03_otc_swap_comp_info.comp_usag_cd；pdata_n.t03_otc_swap_comp_leg_info.res_flag；pdata_n.t03_otc_swap_comp_leg_info.res_type；pdata_n.t98_otc_swap_comp_trd_undrl_info.crrc_cd；pdata_n.t98_otc_swap_comp_trd_undrl_info.src_scr_type_cd；pdata_n.t98_sb_otc_opt_comp_info.bgng_prcg_date；pdata_n.t98_sb_otc_opt_comp_info.res_flag；pdata_n.t98_sb_otc_opt_comp_info.sler_cutp_pty_id；pdata_n.t98_sb_otc_opt_comp_info.src_agt_sub_type_cd；pdata_n.t98_sb_otc_opt_comp_info.src_agt_type_cd；pdata_n.t98_sb_otc_opt_comp_info.undrl_cd；pdata_n.t98_sb_otc_swap_comp_info.strt_pric_date；pdata_n.t98_sb_otc_swap_comp_info.swap_type_cd；pdata_news_n.t02_tit_scr_base_info.scr_type_src","JOIN关联","1","1","241773","srctab.tag_id = tag.tag_id","E-241773","FU-241773-f475a96c02f5","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","RB1","root.setop.b1","","","JOIN关联","1","1","107018","MP.KEY_BOOK_ID_TO = RB1.Book_Agt_Id","E-107018","FU-107018-e5e5c258554c","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","a","root.casttable","pdata_n.t03_agt_pty_rela_h.agt_id","","JOIN关联","1","1","134167","a.Book_Agt_Id = c.Agt_Id","E-134167","FU-134167-ac5200030dfb","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","rb_ori","root.casttable","pdata_n.t03_agt_rela_h.rela_agt_id；pdata_n.t03_otc_deri_agt_rela_adtnl_info.book_agt_id","","JOIN关联","1","1","209119","mapping.key_book_id_from = rb_ori.key_book_id","E-209119","FU-209119-d26f40307ab1","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","RB","root.casttable","pdata_n.t03_agt_rela_h.rela_agt_id；pdata_n.t03_otc_deri_agt_rela_adtnl_info.rela_book_agt_id","","JOIN关联","1","1","209119","MAPPING.KEY_BOOK_ID_TO = RB.book_agt_id","E-209119","FU-209119-d3a38b924b7f","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","RB","root.(child).setop.b0.setop.b0；root.(child).setop.b0.setop.b1；root.(child).setop.b1","pdata_n.t03_otc_deri_agt_rela_adtnl_info.rela_book_agt_id","","JOIN关联","1","1","209119","BM.KEY_BOOK_ID_TO = RB.KEY_BOOK_ID","E-209119","FU-209119-090a0bec91e7；FU-209119-0a3eb0372cbf；FU-209119-0b78e77f6f2d","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","rb","root.casttable.u","pdata_n.t98_otc_book_hold_sum.book_agt_id","","JOIN关联","1","1","230202","rb.Book_Agt_Id = b.Book_Agt_Id","E-230202","FU-230202-00e2b6bbee73","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","c","root.casttable","pdata_n.t03_otc_opt_comp_sub_trd_info.book_agt_id","","JOIN关联","1","1","234175","p.Book_Agt_Id = c.Book_Agt_Id","E-234175","FU-234175-096c21ef21a8","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_id","账簿协议编号","rb","root.srctab.setop.b0.setop.b0.setop.b0","pdata_n.t98_sb_otc_opt_comp_info.book_agt_id","","JOIN关联","1","1","241773","deal.book_agt_id = rb.book_agt_id","E-241773","FU-241773-b49dfd083136","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"book_agt_modifr","账簿协议修饰符","A","root","pdata_n.t03_agt.agt_modifr","","JOIN关联","1","1","145871","A.Book_Agt_Modifr = B.Agt_Modifr","E-145871","FU-145871-c1872b8d019f","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"busi_date","业务日期","","root","","","输出取值","1","1","243918","busi_date","E-243918","FU-243918-22935a374802","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"busi_date","业务日期","t1","root.casttable；root.casttable.t1","","","中间投影","1","1","243918","busi_date；t1.busi_date","E-243918","FU-243918-7f126d4e3d55；FU-243918-ddde409f5e56","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"cntr","柜台","","root.casttable.u.rb","","","过滤条件","1","1","230202","src_tbl = 'ODATA_N_TIT.D_REF_BOOK' and busi_date = '${yyyy-MM-dd}' and Cntr = 'DYNAMIC_HEDGING'","E-230202","FU-230202-d6e6cd0b28b6","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"cntr","柜台","","root.srctab；root.srctab.setop.b0；root.srctab.setop.b0.setop.b0","","pdata_n.t03_otc_swap_comp_info.comp_usag_cd；pdata_n.t03_otc_swap_comp_leg_info.res_flag；pdata_n.t03_otc_swap_comp_leg_info.res_type；pdata_n.t98_otc_swap_comp_trd_undrl_info.crrc_cd；pdata_n.t98_otc_swap_comp_trd_undrl_info.src_scr_type_cd；pdata_n.t98_sb_otc_opt_comp_info.bgng_prcg_date；pdata_n.t98_sb_otc_opt_comp_info.res_flag；pdata_n.t98_sb_otc_opt_comp_info.sler_cutp_pty_id；pdata_n.t98_sb_otc_opt_comp_info.src_agt_sub_type_cd；pdata_n.t98_sb_otc_opt_comp_info.src_agt_type_cd；pdata_n.t98_sb_otc_opt_comp_info.undrl_cd；pdata_n.t98_sb_otc_swap_comp_info.strt_pric_date；pdata_n.t98_sb_otc_swap_comp_info.swap_type_cd；pdata_news_n.t02_tit_scr_base_info.scr_type_src","计算取值","1","1","241773","UNION_OUTPUT(tag_id)","E-241773","FU-241773-19df443701ec；FU-241773-764662fac2b6；FU-241773-99eeaa287149","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"cntr","柜台","rb","root.srctab.setop.b0.setop.b0.setop.b0","","pdata_n.t98_sb_otc_opt_comp_info.bgng_prcg_date；pdata_n.t98_sb_otc_opt_comp_info.res_flag；pdata_n.t98_sb_otc_opt_comp_info.sler_cutp_pty_id；pdata_n.t98_sb_otc_opt_comp_info.src_agt_sub_type_cd；pdata_n.t98_sb_otc_opt_comp_info.src_agt_type_cd；pdata_n.t98_sb_otc_opt_comp_info.undrl_cd；pdata_news_n.t02_tit_scr_base_info.scr_type_src","条件/回退取值","1","1","241773","if( deal.bgng_prcg_date <= '2025-03-31' -- 旧版 , case when deal.src_agt_type_cd = 'AUTOCALL' and deal.src_agt_sub_type_cd not in ('SNOWBALL', 'SECURED') and coalesce(bc.ins_family, ins.ins_family) in ('EQUITY', 'GDR') then 'tag074452399' -- ","E-241773","FU-241773-abe5257af6f1","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"cntr","柜台","srctab","root","dm_index_n.tag_def.tag_id","pdata_n.t03_otc_swap_comp_info.comp_usag_cd；pdata_n.t03_otc_swap_comp_leg_info.res_flag；pdata_n.t03_otc_swap_comp_leg_info.res_type；pdata_n.t98_otc_swap_comp_trd_undrl_info.crrc_cd；pdata_n.t98_otc_swap_comp_trd_undrl_info.src_scr_type_cd；pdata_n.t98_sb_otc_opt_comp_info.bgng_prcg_date；pdata_n.t98_sb_otc_opt_comp_info.res_flag；pdata_n.t98_sb_otc_opt_comp_info.sler_cutp_pty_id；pdata_n.t98_sb_otc_opt_comp_info.src_agt_sub_type_cd；pdata_n.t98_sb_otc_opt_comp_info.src_agt_type_cd；pdata_n.t98_sb_otc_opt_comp_info.undrl_cd；pdata_n.t98_sb_otc_swap_comp_info.strt_pric_date；pdata_n.t98_sb_otc_swap_comp_info.swap_type_cd；pdata_news_n.t02_tit_scr_base_info.scr_type_src","JOIN关联","1","1","241773","srctab.tag_id = tag.tag_id","E-241773","FU-241773-fc239cd0fbc2","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"cntr","柜台","t1","root.casttable","pdata_n.ref_dw_cd_val.dw_cd_val","","JOIN关联","1","1","243918","t1.desk = t4.desk","E-243918","FU-243918-9135f1e1b7d3","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"eff_date","生效日期","","root.casttable.a.bb.b","","","过滤条件","1","1","234256","SRC_TBL = 'ODATA_N_TIT.D_REF_BOOK' and BUSI_DATE = '${yyyy-MM-dd}' and Eff_Date <= '${yyyy-MM-dd}' and Exp_Date > '${yyyy-MM-dd}'","E-234256","FU-234256-548b114ff204","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_ast_module_flag","启用资金模块标志","","root.casttable","","","条件/回退取值","1","1","134167","CASE WHEN Enable_Ast_Module_Flag = '1' THEN 'Y' WHEN Enable_Ast_Module_Flag = '0' THEN 'N' ELSE Enable_Ast_Module_Flag END as ENABLE_CAPITAL","E-134167","FU-134167-325ffedcb2d9","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_ast_module_flag","启用资金模块标志","","root.casttable；root.casttable.t1","","","中间投影","1","1","243918","Enable_Ast_Module_Flag as enable_capital；t1.enable_capital","E-243918","FU-243918-3360123b55e2；FU-243918-cac77e02766b","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_rgst_flag","启用报备标志","","root.casttable","","","条件/回退取值","1","1","134167","CASE WHEN Enable_Rgst_Flag = '1' THEN 'Y' WHEN Enable_Rgst_Flag = '0' THEN 'N' ELSE Enable_Rgst_Flag END as ENABLE_REPORT","E-134167","FU-134167-b19d9356524f","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_rgst_flag","启用报备标志","","root.casttable；root.casttable.t1","","","中间投影","1","1","243918","Enable_Rgst_Flag as enable_report；t1.enable_report","E-243918","FU-243918-210bf0fa5f28；FU-243918-9d17c16c090c","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_risk_qta_flag","启用风险限额标志","","root.casttable","","","条件/回退取值","1","1","134167","CASE WHEN Enable_Risk_Qta_Flag = '1' THEN 'Y' WHEN Enable_Risk_Qta_Flag = '0' THEN 'N' ELSE Enable_Risk_Qta_Flag END as ENABLE_LIMIT","E-134167","FU-134167-95065196e893","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_risk_qta_flag","启用风险限额标志","","root.casttable；root.casttable.t1","","","中间投影","1","1","243918","Enable_Risk_Qta_Flag as enable_limit；t1.enable_limit","E-243918","FU-243918-8af2d85888d6；FU-243918-952ecc3bd182","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_scdtm_revw_flag","启用二次复核标志","","root.casttable","","","条件/回退取值","1","1","134167","CASE WHEN Enable_Scdtm_Revw_Flag = '1' THEN 'Y' WHEN Enable_Scdtm_Revw_Flag = '0' THEN 'N' ELSE Enable_Scdtm_Revw_Flag END as ENABLE_REPEAT_CHECK","E-134167","FU-134167-8477fe6a556b","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_scdtm_revw_flag","启用二次复核标志","","root.casttable；root.casttable.t1","","","中间投影","1","1","243918","Enable_Scdtm_Revw_Flag as enable_repeat_check；t1.enable_repeat_check","E-243918","FU-243918-723cc42b52a4；FU-243918-a20b46dd573a","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_sett_ntfc_flag","启用结算通知书标志","","root.casttable","","","条件/回退取值","1","1","134167","CASE WHEN Enable_Sett_Ntfc_Flag = '1' THEN 'Y' WHEN Enable_Sett_Ntfc_Flag = '0' THEN 'N' ELSE Enable_Sett_Ntfc_Flag END as ENABLE_SETTLEMENT","E-134167","FU-134167-a0258070f645","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_sett_ntfc_flag","启用结算通知书标志","","root.casttable；root.casttable.t1","","","中间投影","1","1","243918","Enable_Sett_Ntfc_Flag as enable_settlement；t1.enable_settlement","E-243918","FU-243918-d98301316ee3；FU-243918-dbc4574e7b68","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_trd_cfm_flag","启用交易确认书标志","","root.casttable","","","条件/回退取值","1","1","134167","CASE WHEN Enable_Trd_Cfm_Flag = '1' THEN 'Y' WHEN Enable_Trd_Cfm_Flag = '0' THEN 'N' ELSE Enable_Trd_Cfm_Flag END as ENABLE_CONFIRMATION","E-134167","FU-134167-a319931ed6e6","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"enable_trd_cfm_flag","启用交易确认书标志","","root.casttable；root.casttable.t1","","","中间投影","1","1","243918","Enable_Trd_Cfm_Flag as enable_confirmation；t1.enable_confirmation","E-243918","FU-243918-52a8aa756cac；FU-243918-a4ffae938c57","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"exp_date","到期日期","","root.casttable.a.bb.b","","","过滤条件","1","1","234256","SRC_TBL = 'ODATA_N_TIT.D_REF_BOOK' and BUSI_DATE = '${yyyy-MM-dd}' and Eff_Date <= '${yyyy-MM-dd}' and Exp_Date > '${yyyy-MM-dd}'","E-234256","FU-234256-1942d31ed84a","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"map_undrl_cd","映射标的代码","rb","root.casttable.u","","pdata_n.t98_otc_book_hold_sum.busi_date；pdata_news_n.t02_tit_scr_base_info.undrl_clas","分组键","1","1","230202","nvl(if(rb.Map_Undrl_Cd='',null,rb.Map_Undrl_Cd),ins.undrl_clas); b.busi_date","E-230202","FU-230202-efa8a667f24d","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"map_undrl_cd","映射标的代码","","root","","","输出取值","1","1","243918","mapping_wind_code","E-243918","FU-243918-10c46759b579","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"map_undrl_cd","映射标的代码","u","root.casttable","","pdata_news_n.t02_tit_scr_base_info.undrl_clas","中间投影","1","1","230202","u.Map_Undrl_Cd","E-230202","FU-230202-c50e093db0f7","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"map_undrl_cd","映射标的代码","u","root.casttable","pdata_n.t98_otc_deri_comp_sale_info.undrl_wd_cd","pdata_news_n.t02_tit_scr_base_info.undrl_clas","JOIN关联","1","1","230202","info.undrl_wd_cd = u.Map_Undrl_Cd","E-230202","FU-230202-2f4f4afdd970","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"rep_fin_flag","报送财务标志","","root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb；root.casttable.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.rb","","","过滤条件","1","1","171179","src_tbl = 'ODATA_N_TIT.D_REF_BOOK' and busi_date = '${yyyy-MM-dd}' AND Rep_Fin_Flag = '1'","E-171179","FU-171179-21e67b13a2c7；FU-171179-7ea0cf51bd53","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"rep_fin_flag","报送财务标志","","root.casttable","","","条件/回退取值","1","1","134167","CASE WHEN Rep_Fin_Flag = '1' THEN 'Y' WHEN Rep_Fin_Flag = '0' THEN 'N' ELSE Rep_Fin_Flag END as ENABLE_FINANCIAL","E-134167","FU-134167-98f071ae96c9","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"rep_fin_flag","报送财务标志","","root.casttable；root.casttable.t1","","","中间投影","1","1","243918","Rep_Fin_Flag as enable_financial；t1.enable_financial","E-243918","FU-243918-4d6309d86374；FU-243918-b0b314bd0609","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"rep_risk_flag","报送风控标志","rb","root.casttable.setop.b0","","","过滤条件","1","1","143830","t.src_tbl = 'ODATA_N_TIT.D_BUNDLE_MARGIN_DAILY_RESULT' and rb.rep_risk_flag = '1'","E-143830","FU-143830-53dd5eb089ff","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"rep_risk_flag","报送风控标志","","root.casttable","","","条件/回退取值","1","1","134167","CASE WHEN Rep_Risk_Flag = '1' THEN 'Y' WHEN Rep_Risk_Flag = '0' THEN 'N' ELSE Rep_Risk_Flag END as ENABLE_RISK","E-134167","FU-134167-aafddf8c6ca8","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
"rep_risk_flag","报送风控标志","","root.casttable；root.casttable.t1","","","中间投影","1","1","243918","Rep_Risk_Flag as enable_risk；t1.enable_risk","E-243918","FU-243918-0e37edd1739e；FU-243918-5b4a40639769","20个直接核读SQL材料组覆盖的21个任务（含200030对200078的完全相同目标引用SQL复用）；按任务去重"
