"物理节点标识","平台","库表","目录描述原意","元数据匹配依据","写入关联任务","读取关联任务","写入关联任务数","读取关联任务数","图内角色","名称规则候选分类","已核代表条目","SQL词法筛查线索","无externalReads的写入关联任务","指标标签名称匹配候选","环境提示","解释状态"
"dataset:02d7f752b9686f57ce2748643a9306db846b82d8b8b69e440b8c71d5401cfbe7","hive","dm_index_n.hold_def_daily_dict_opt","持仓定义表-分业务-每日对照字典表","PHYSICAL_IDENTITY","","151652;164124;170348","0","3","仅见读取","持仓、风险与盈亏分析;公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:0d533627f91db83d0dc5d693e31ed677cf4e3fba500b8ed98fcccffde0fcc06e","hive","pdata_pcav_n.mid_acs_opt_client_debit","期权负债信息表","PHYSICAL_IDENTITY","","151655","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:9f47e1d10524e3233bb3ba52cfa75b3078e8a40b4f9ae28ef28f66a5ff041fd3","hive","dm_index_n.dim_def","","PHYSICAL_IDENTITY","","151655;154181","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:1c23fb16c392ab827602ecef53a90e3a9ef86db1e18943f570345ef4ecf6ed0b","hive","dm_index_n.hold_def_daily_dict_opt_debit","持仓定义表-分业务-每日对照字典表","PHYSICAL_IDENTITY","","151655;154147","0","2","仅见读取","持仓、风险与盈亏分析;公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:af71f842fb2796377fcf3ea74d632cae6b0bc6f3e858f3a66cb21fd4aa2d2dc3","hive","pdata_pcav_n.mid_acs_ses_client_debit","客户负债信息表","PHYSICAL_IDENTITY","","151655;180321","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b37f66aaf08030237ad7f53063b72a60220e5914425a1a06b752a237ae8c636d","hive","dm_index_n.hold_def_daily_dict_debit","持仓定义表-分业务-每日对照字典表","PHYSICAL_IDENTITY","","151655;154147","0","2","仅见读取","持仓、风险与盈亏分析;公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:688e7d2eddf2ef3cd81d1bb1c4845bb7f5460632a66c762f612eb7f0684d36ca","hive","odata_n_tit.r_cfg_instrument_pool_props_p","配置-标的池标的属性表","PHYSICAL_IDENTITY","151771","151778","1","1","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:845bfd7cc67f6e2395fcf4a70876476769238fa494ff01a7fc267af654172a47","hive","odata_n_tit.d_trd_transfer_p","交易-收付款记录表","PHYSICAL_IDENTITY","151773;160419;198790;211799;237078","151779;160420;163712;198791;211648;237599","5","6","有写入且被继续读取","资金、保证金与运营分析","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:1940eb75a853ca311cf80477c08d4d170ffdb14703b40be49be8a06e5dd4ae0d","hive","odata_n_tit.d_v_otcm_se_report_p","视图-运管交易所报备","PHYSICAL_IDENTITY","151775","151780","1","1","有写入且被继续读取","监管与协会报送","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:1f508014589468ca01fa6d0c21a3ecc57c16b400f45a0b6e8e59761cb3e0f9d8","hive","odata_n_tit.r_cfg_instrument_pool_props_pb","配置-标的池标的属性表","PHYSICAL_IDENTITY","151778","152121;158292","1","2","有写入且被继续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
