"物理节点标识","平台","库表","目录描述原意","元数据匹配依据","写入关联任务","读取关联任务","写入关联任务数","读取关联任务数","图内角色","名称规则候选分类","已核代表条目","SQL词法筛查线索","无externalReads的写入关联任务","指标标签名称匹配候选","环境提示","解释状态"
"dataset:197ab12d9be6d835cd014086a4a0b1960f94ea622120f0f2a04f29615fa990ea","hive","pdata_nds.t05_aml_cust_risk_lvl_reval_evt","反洗钱客户风险等级复评事件","PHYSICAL_IDENTITY","211929","218629","1","1","有写入且被继续读取","持仓、风险与盈亏分析","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:cfdd2916467c78386fd3aaf1509d4c8911178339eb03cd74ab4ba53c8f22d48d","hive","pdata_news_n.t02_exch_quot_bef_s","前复权日行情表","PHYSICAL_IDENTITY","","211987","0","1","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ff3bce04e5b81f6c5a3f1070c22adf620a6bc1a8adef3e7871feb3c0c88f5a91","hive","pdata_news_n.t02_stk_tran_method","股票转让方式","PHYSICAL_IDENTITY","","211987","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:83df95344c64262cbbaa68bca4783d7dc4470d6880d8147afe690c44c55a6242","hive","pdata_news_n.t02_scr_info_tot","证券信息总表","PHYSICAL_IDENTITY","217719","211987;221844","1","2","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:e0051213a7d391b0be348e9dd85fff5b7b8c6b36cf67a0c78ff980585a3b000d","hive","pdata_news_n.t02_stk_rstk_disc_info","限售股折价信息表","PHYSICAL_IDENTITY","228593","211987;228801","1","2","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:9c7960b5de51c3f0d20720b3a056127f731830fe30c66680a7500de5343af26a","hive","dm_otc_n.evt_secu_mholder_deli_jour_t0","证券理财交割流水表-T0","PHYSICAL_IDENTITY","212026","212229","1","1","有写入且被继续读取","财务核算与对账","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:fa34648ab8077bfaa306cec77f804fbda716bde2ba101776a37cc3cd57ab3093","hive","dm_fii_n.agt_comp_maty_hint_day","合约到期提醒数据_当日","PHYSICAL_IDENTITY","212078","212155","1","1","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:88e5ba23836b986f49cebedfbde9be15b35e04bd9390f4271aed6c4b10fc2771","starrocks","dm_fii_n.agt_comp_maty_hint","合约到期提醒信息","PHYSICAL_IDENTITY","212155","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:5d6550ae5f75014fd49efb54f5f3e5ab1675283c815d7c04af78d3cd1ca3e8a9","hive","odata_n_aum.a_t_ins_cust_assn_pool","","PHYSICAL_IDENTITY","","212185","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:64fc3f27101a0b8679db824f5145da31f6eaee9fdff38b6b00a1df15023e1614","oracle","hs_asset.acctspcash","","PHYSICAL_IDENTITY","","212191","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ef140b56c5cc56344116d3de30d72d433633aae89003ca65ad75c0f317bd4926","hive","odata_n_icc.a_acctspcash_p","","PHYSICAL_IDENTITY","212191","212234","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:4a4010857ff0ffde58b79d4086c3ba719c9ad64077052029b0e2fa936e68b09a","hive","pdata_nds.t03_ast_acct_spec_cash_ctrl_h1530","资产账户专项头寸控制","PHYSICAL_IDENTITY","212234;212235","214294;216955;216982","2","3","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:832e042c75db6e833a8b1b57329a6e0f3ca1d58304703a14fa737ee6e9246387","hive","odata_n_rcc.c_crdtacctspcash_t","","PHYSICAL_IDENTITY","","212235","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b95ea1f1813ea6465102fac204ff270526188b376c28c4ad00a66b95a4fc092d","hive","dm_index_n.index_grp2_servtimes_aumimpcust_mth_ricc","员工*客户_服务次数_aum重点客户_当月_零售和机构柜台","PHYSICAL_IDENTITY","","212242","0","1","仅见读取","","","","","indicator:ind2025091848354973","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:bf3176bf071f8bf522897708c4185a01fdcdac4e12338fa381e4263b86049629","hive","dm_index_n.index_grp2_servtimes_aumimpcust_astpkgrela_mth_ricc","员工*客户_服务次数_aum重点客户&资产包关系_当年截至当月_零售和机构柜台","PHYSICAL_IDENTITY","","212242","0","1","仅见读取","","","","","indicator:ind2025091833392218","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:2b3c64a921ae80f1411452a743bf0d583c05a2f52360a5d5eb66371a21f7fa36","oracle","src_gfjgj.t_client_specialized_income","","PHYSICAL_IDENTITY","212298","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b75b2ec3ca5640c6166a1e626fc55c1a4f39b5f5bc6fddedadf1d898fd8a825a","hive","dm_otc_n.cust_stk_mts_hld_his","客户各标的信用账户持仓数量","PHYSICAL_IDENTITY","212422","213286","1","1","有写入且被继续读取","持仓、风险与盈亏分析","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:dfe32e7e448e6a9c076913c82a7f938252e734e08f8f008eb5a34b9b2bcb0de4","oracle","xir_trd.ttrd_otc_pool_component","","NAME_CANDIDATE","","212437","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:fe23d52d496c47d608b621d9d02991b2f5f78cb7477b4d5c19bf06c7f9f044cf","hive","odata_n_xir.t_ttrd_otc_pool_component_p","","PHYSICAL_IDENTITY","212437","212570","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:74dfcab6ad7545a37fda6a300c49dad0f0a7855624be7644ec5edc8d6289cb2b","hive","dm_hk_n.pty_ref_ctpty_mapping_day","交易对手映射数据_当日","PHYSICAL_IDENTITY","212460","","1","0","图内未见后续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:83caf2aafa02b83c00991f0fd28bfebf01d42882e8840c4ad6d52a493355951e","oracle","titans_dm.value_report_fast_cap_flow","统一估值报告-极速资金流水表","PHYSICAL_IDENTITY","","212498","0","1","仅见读取","客户准入与服务管理;资金、保证金与运营分析;持仓、风险与盈亏分析","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:cef7b84e95c647d9649f7030886d71f4b8ef6f8b27c5b9d75b8cbe414f775a5a","hive","odata_n_tit.d_value_report_fast_cap_flow","统一估值报告-极速资金流水表","PHYSICAL_IDENTITY","212498","","1","0","图内未见后续读取","客户准入与服务管理;资金、保证金与运营分析;持仓、风险与盈亏分析","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:69334aec6d72e4cc65f6f5ceeaa5cdd8e7481508f0e77152dd407dde3b07cf26","hive","odata_n_fia.y_bd_acc_fi_int","","PHYSICAL_IDENTITY","","212507","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:4a70a42e2728bb70301772044d20d58d75d1f4499c2e42150d4302608dfcf520","hive","dm_otc_n.cust_stk_cbs_hld_his","客户各标的普通账户持仓数量","PHYSICAL_IDENTITY","212525","213284","1","1","有写入且被继续读取","持仓、风险与盈亏分析","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:5c9370948f330950b1d7cdbbcc1a921e834256d1c5c480be35c255c43e0d4850","hive","odata_n_xir.m_tbnd_p","","PHYSICAL_IDENTITY","","212569","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:2126f75fb3d81755d69756817e59fdae7ea866d397b81f01fdeae0fc2568b5fa","hive","spdata_nds.m_tbnd_t0","衡泰债券信息表多批次模型","PHYSICAL_IDENTITY","212569","230852","1","1","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:51cf54707d2a4fb7d5c62243409dc8782efb489cec1b7b30350a1c371cf5f0ca","hive","spdata_nds.t00_prd_pool_compnt_info_t0","产品池成分信息","PHYSICAL_IDENTITY","212570","230852","1","1","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:81b57c97206cff9250138992391f446bbf0b8152c5632a344cc9134875992a96","hive","pdata_n.t04_inr_org_exam_schm","内部机构考核方案","PHYSICAL_IDENTITY","","212630;222860","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:d617236c95f29b16a14ee5daec921f16a3e7e5307e82421c878f7e30e52320b1","hive","pdata_n.t04_exam_schm_dim_rela_h","考核方案维度关系历史","PHYSICAL_IDENTITY","","212630;222860","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:216c12ba3dc33f5b153e7dd8b55e3fc1a37b06ce7fec27f1875e7ebcda1a59cf","hive","pdata_n.t04_exam_dim","考核维度","PHYSICAL_IDENTITY","","212630;222860","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:66f19c26848acef013e670e7185516867d2f6aa5fbcbf31a850c78ab0ae1f243","hive","pdata_n.t04_inr_org_exam_schm_fctr_det","内部机构考核方案因子明细","PHYSICAL_IDENTITY","","212630;222860","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:2041a7aa00870958cc60820163b8d5692ce2fc6b5cb4ea1403b5868f1dd78d6a","hive","pdata_n.t04_inr_org_exam_schm_tgt","内部机构考核方案目标","PHYSICAL_IDENTITY","","212630;222860","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:72f6836ec284c131458c79fcf222922834b69479a356af2ee0d7cbb151176060","hive","pdata_n.t04_exam_fctr_stati_info_h","考核因子统计信息历史","PHYSICAL_IDENTITY","","212630;222860","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:618a93945b18f3bf05c9ebfe70ee4b290a42ceaaec0064028660b5d514473b45","hive","pdata_n.t98_emp_stati_idx","T98_员工统计指标","PHYSICAL_IDENTITY","","212630;222860;237807","0","3","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:75c616cecc3e789540ee03d33beb8cd9a78e613ce8d65d193344f9b02333a595","hive","dm_co_test.co_seqabc_examset","机构序列考核ABC集合全值(未对员工进行限制)","PHYSICAL_IDENTITY","212945","212630;222860","1","2","有写入且被继续读取","","","多来源或计算线索","","","名称含测试标记","仅目录与结构候选，未逐分支核对"
"dataset:6b67466a3ecc0ade7d672c4f77b63c6084a677126eb2ba2c4f84cfe15e643421","hive","dm_co_test.co_busi_stf_exam","机构业务人员考核报表","PHYSICAL_IDENTITY","212630;214072","","2","0","图内未见后续读取","","","多来源或计算线索;未见复杂算子线索","214072","","名称含测试标记","仅目录与结构候选，未逐分支核对"
"dataset:0201badc35d6def79c8c12bc3627fead5a5a4b87d4b24eee601b191cba9db696","hive","pdata_n.t95_otc_deri_rpt_doc_attach_info","T95_场外衍生品报备档案附件信息","PHYSICAL_IDENTITY","212702","","1","0","图内未见后续读取","监管与协会报送","","条件转换线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:10bd5ee81b7d4f9e7204578417b2217fa7dce988116a261001539417548de347","hive","temp.ref_dw_cd_val_h_temp","","PHYSICAL_IDENTITY","","212728","0","1","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:3ccc1869cbb95484e87dbf017664efbe892d4e748ce2736cc478e8cca9bd2588","hive","temp.ref_dw_cd_val_h_mid","","PHYSICAL_IDENTITY","","212728","0","1","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:21eae27b19f8c51096f2ca13af45bb59fe81d3f53a0d57aeda679aa58b095910","hive","pdata_n.ref_dw_cd_val_h","仓库代码取值历史","PHYSICAL_IDENTITY","212728","","1","0","图内未见后续读取","公共参数、行情与应用支撑","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b6d4002dd1927c3a9d16f8bf119c313f5026b5e59a252eff05c72690ccb34e05","hive","dm_otc_n.covt_bond_info","可转换公司债券信息","PHYSICAL_IDENTITY","212881","213283","1","1","有写入且被继续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:727aee9c4fb6097ae38e7e9dfadcbf4f7c1202a81ba7c832300d2c498b735003","hive","dm_index_n.index_grp1_netintrincome_margdevrela_orgseqempkpiexam_yearmthavg","员工_净利息收入_两融开发关系&机构序列员工KPI考核_当年月均","PHYSICAL_IDENTITY","235224","212945;244873","1","2","有写入且被继续读取","资金、保证金与运营分析","","多来源或计算线索","","indicator:ind2026052004263855","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:4e9fb8c85af0c89b9602a7f648ac81acb515c40577af877f1811a1c5d12f24c1","hive","dm_index_n.index_grp1_margbalincrsrate_margdevrela_orgseqempkpiexam_yearapd","员工_两融余额增长率_两融开发关系&机构序列员工KPI考核_当年日均","PHYSICAL_IDENTITY","235234","212945;244873","1","2","有写入且被继续读取","资金、保证金与运营分析","","多来源或计算线索","","indicator:ind2026052017122369","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b52989ff22e1ced418fe4bdcbd1a94ad4a486effba3f096f1ffc796dffbc5112","hive","odata_n_ecr.s_bg_acs_rel_emp_v","","PHYSICAL_IDENTITY","","212965","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:e99ae98fbb74fe05ac1bc6e72118567fd31f9df99f9880cd506f21d529ba1422","postgre","gfedw.covt_bond_info","可转换公司债券信息","PHYSICAL_IDENTITY","213283","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ef10aebac93f7795b7faad44196f47b7963f21c1cb26380242fb8c20eda7a098","postgre","gfedw.cust_stk_cbs_hld_his","客户各标的普通账户持仓明细","PHYSICAL_IDENTITY","213284","","1","0","图内未见后续读取","持仓、风险与盈亏分析","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:49a65323d0a4bd8b9d52cbe91176d97e5bd462ee6c900bc231d71a7e6d857846","postgre","gfedw.cust_stk_mts_hld_his","客户信用账户单证券持仓明细","PHYSICAL_IDENTITY","213286","","1","0","图内未见后续读取","持仓、风险与盈亏分析","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:136131eec102c34d7e09557811b1acc5ad3995c9f27ebb2c7b5acb591a7084bb","mysql","gfedw.data_prize_p_c81011","C81011奖励-个人数据","PHYSICAL_IDENTITY","213385","","1","0","图内未见后续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:d31926b60f93b33b9e6d8e56dcc7269bd51e41c17cda8a9fe0273e8e600ea3e2","hive","pdata_news_n.t02_fin_otc_forb_undrl","otc禁止标的","PHYSICAL_IDENTITY","216798;216800","213475","2","1","有写入且被继续读取","财务核算与对账","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:018566b5530d41eb39569e82ea0d4c59e729fb55c915fd2a866aa80e62622205","hive","dm_otc_n.file_restricted_list","OTC禁止标的池","PHYSICAL_IDENTITY","213475","213723;229963","1","2","有写入且被继续读取","公共参数、行情与应用支撑","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:71a2cd7e72c968fc9dae5284d07da29ba500c86e4b435e18af525e161435834c","goldendb","titans_service.gpu_ma_eod_cross_metric","证券-多标的期权压力测试GPU定价cross greeks结果表","PHYSICAL_IDENTITY","","213556","0","1","仅见读取","持仓、风险与盈亏分析","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:6a1aac4580fa5994c1108f8ceec2a9abc34d96734344832363b85a8022087e7b","hive","odata_n_tit.v_gpu_ma_eod_cross_metric","","PHYSICAL_IDENTITY","213556","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:767c62c286e90ee089f89daaca69df9c2d9515a87022b97e3e9334e3324ab9aa","goldendb","titans_service.gpu_ma_eod_part_metric","证券-多标的期权压力测试GPU定价partial greeks结果表","PHYSICAL_IDENTITY","","213557","0","1","仅见读取","持仓、风险与盈亏分析","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:98065eddd4db7b56f517be6600ff77fe8fb35f8349510b8ea91cc9847d4486fe","hive","odata_n_tit.v_gpu_ma_eod_part_metric","","PHYSICAL_IDENTITY","213557","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:22a1109051dee1f0cedad88b62e95fd35732670b4db07f6bb05dbe7971eb9201","goldendb","titans_service.gpu_ma_eod_pt_metric","证券-多标的期权压力测试CPU定价结果表","PHYSICAL_IDENTITY","","213558","0","1","仅见读取","持仓、风险与盈亏分析","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:951c49f90bc02f2e5b472bc7a68d73f4bc7c20da791c682a82689e5652933f79","hive","odata_n_tit.v_gpu_ma_eod_pt_metric","","PHYSICAL_IDENTITY","213558","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:648e872dd48704843f436ba295b67e9b3e49603e1b0d8e0560b563e39b2bd28e","goldendb","titans_service.pricing_bucket_metric","证券-期权日终bucket定价指标表","PHYSICAL_IDENTITY","","213559","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:6b0e82b88d9a0fa4d813309bd9868c8253f7110d59107b10d017fb0767321baa","hive","odata_n_tit.v_pricing_bucket_metric","","PHYSICAL_IDENTITY","213559","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:01a1dc21e7f55024f32333b1cb179115c38f629470a1076d35dd36ae6bd4ce41","goldendb","titans_service.pricing_eod_cross_metric","证券-多标的期权日终定价cross指标表","PHYSICAL_IDENTITY","","213560","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:5419f74b0a52792927fc83cbc784adeff1800754ff88604396d1dd581a2377fb","hive","odata_n_tit.v_pricing_eod_cross_metric","","PHYSICAL_IDENTITY","213560","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:e205e3b356a9abe2eb7d9432a853b37d8d3d1c133dc9e016976971228d7db2ce","goldendb","titans_service.pricing_eod_part_metric","证券-多标的期权日终定价partial指标表","PHYSICAL_IDENTITY","","213561","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:c23ea1d9b4da55f9169497cbab70f0375ea25487a8676a1fad81c87ec51953f6","hive","odata_n_tit.v_pricing_eod_part_metric","","PHYSICAL_IDENTITY","213561","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:4dda843d816640eefb941694ce084fa5eb97b066756805eb0f9e6afc2c7e87f7","goldendb","titans_service.pricing_ma_eod_cross_metric","证券-多标的期权压力测试定价cross greeks结果表","PHYSICAL_IDENTITY","","213563","0","1","仅见读取","持仓、风险与盈亏分析","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:e7bb5edfa6fa9e324ea768366c4a2f957a3cab6f3736b54aa3cc61892ec9ee20","hive","odata_n_tit.v_pricing_ma_eod_cross_metric","","PHYSICAL_IDENTITY","213563","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:047426ef096316c3f98a78ba0292aa197019490fcde7bea116c034ee6505f086","goldendb","titans_service.pricing_ma_eod_part_metric","证券-多标的期权压力测试定价partial greeks结果表","PHYSICAL_IDENTITY","","213564","0","1","仅见读取","持仓、风险与盈亏分析","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:eabe5fe9ab00af7eedcdf9f63a612f61cdc9c51fc01c4280c164670db8d4636c","hive","odata_n_tit.v_pricing_ma_eod_part_metric","","PHYSICAL_IDENTITY","213564","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:a0dcbecb74d3699fe6f0a9db89b4ee75642d1e0cc3796b0b8fb4b9351fad2610","goldendb","titans_service.pricing_ma_eod_pt_metric","证券-多标的期权压力测试定价结果表","PHYSICAL_IDENTITY","","213565","0","1","仅见读取","持仓、风险与盈亏分析","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:ec33c5266196f85e5b6ac914e248c58e02cb348bf9ac49888a2f9d252814dd10","hive","odata_n_tit.v_pricing_ma_eod_pt_metric","","PHYSICAL_IDENTITY","213565","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:bca02a531ead83b6d2f4603077259ba543b3e89ef40b2b6b73ef73ca32d57818","goldendb","titans_service.pricing_monitor_pt_metric","定价参数监控压力测试定价结果表","PHYSICAL_IDENTITY","","213567","0","1","仅见读取","持仓、风险与盈亏分析;公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:bcba50a16edfe3794ae8523981d2bfc70dd567fc31ef333e0928714bc2e1b95f","hive","odata_n_tit.v_pricing_monitor_pt_metric","","PHYSICAL_IDENTITY","213567","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:270e0654647d922e66571bc884353553a9d1396db4941bce9d34711f3aea5e2a","goldendb","titans_service.pricing_user_def_pt_metric","情景分析定价结果表","PHYSICAL_IDENTITY","","213568","0","1","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:e7f96a724c80e5b2fee114fbe9dc8366bdfc8ea04abca9052cef01280c9f59a9","hive","odata_n_tit.v_pricing_user_def_pt_metric","","PHYSICAL_IDENTITY","213568","","1","0","图内未见后续读取","公共参数、行情与应用支撑","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:a4c90397f8fd69e37d9cb11181f2b26d21a74c4a6937445867a27ed677262f89","goldendb","titans_service.pricing_listed_pt_metric","场内期权压力测试结果表","PHYSICAL_IDENTITY","","213569","0","1","仅见读取","持仓、风险与盈亏分析","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:7febdf76cfa667c850054e722c5ef898cc8d64c26d1b663fed25737e47a5dfbc","hive","odata_n_tit.v_pricing_listed_pt_metric","","PHYSICAL_IDENTITY","213569","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:5dd9a9f549f38cee723c7335c2d0f6724626b4a59475ffc5ec88d314ad32f68d","hive","spdata_n.t05_sb_otc_acct_swap_valu","自营场外收益互换估值","PHYSICAL_IDENTITY","","213646","0","1","仅见读取","持仓、风险与盈亏分析","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:9282cf4f67916d4a5b595c678d5933669583aa00ddbc529e673dfd1d612d4231","hive","dm_fin_test.civ_upstr_data_chg_mon","估值系统上游数据变动监测","PHYSICAL_IDENTITY","213646","","1","0","图内未见后续读取","财务核算与对账;持仓、风险与盈亏分析","","多来源或计算线索","","","名称含测试标记","仅目录与结构候选，未逐分支核对"
"dataset:eb62d77ec41d01e5b0c9e853754c0431957dbac0e973bac0b75b35fbcc3a9341","oracle","titans_dm.ref_ctpty_ext_param","交易对手属性参数表","PHYSICAL_IDENTITY","","213682;244230","0","2","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b23600c4db4d9b740d0cc4242681246e1b001bba017db4f2b116381cda237eb8","oracle","titans_dm.ref_ctpty_trade_group","交易对手账户组绑定关系","PHYSICAL_IDENTITY","","213685","0","1","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:317f6b88825d0fab414cb705d21ce9a4c2bc09be92faefa1f0c677923e656a91","oracle","titans_dm.ref_counterparty","系统静态数据-交易对手数据表","PHYSICAL_IDENTITY","","213687;221576","0","2","仅见读取","公共参数、行情与应用支撑","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:58622e163899f8ed735ff6f8169b00296356d87ca0cc125c389db0d870e31f5c","oracle","titans_etl.trans_restricted_list","合规黑名单","PHYSICAL_IDENTITY","213723;229963","","2","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:87bb06c56e6d0a66422171cc045775b87e6df9a42f921dd1074048bc8cf81886","hive","pdata_news_n.t02_name_chg_info","曾用名信息","PHYSICAL_IDENTITY","","213889","0","1","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:b92945320b4366688fc50217d95710001ae36d25741c93801c251122a6d33a5b","hive","dm_ecif.cust_strg_list","战略客户清单","PHYSICAL_IDENTITY","213958","","1","0","图内未见后续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:f9cb4db12d503970eeed4ba67eaf053654ff04a7f621d7bd1b6287ccb3f86d76","mysql","tradingdb.t_order_status","订单状态表","PHYSICAL_IDENTITY","","214063;214064","0","2","仅见读取","","","","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:cd667fb0ba18ebe03dd09267271bd41d7f4fc74f7a04b79af62936739e416536","hive","odata_n_sso.r_t_order_status_p","","PHYSICAL_IDENTITY","214063","214412","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:716cbdbb33212770840c6876d7eb7d6e8c48e7c99e5f15558a8cbf9005057fa3","hive","odata_n_sso.t_t_order_status_p","","PHYSICAL_IDENTITY","214064","214413","1","1","有写入且被继续读取","","","未见复杂算子线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
"dataset:c3713969172de5a39d8bffdcdbcfba5f8eac63f68ca16516d7ff5244494a391c","oceanbase","gfedw.tit_trs_trd_detail","Titans互换交易明细","PHYSICAL_IDENTITY","214154","","1","0","图内未见后续读取","","","多来源或计算线索","","","环境未凭名称确认","仅目录与结构候选，未逐分支核对"
