"左任务","右任务","加权相似度","共同输入物理身份","共同输入表"
"86841","220650","0.602679","dataset:175638359c6f948bb59f1f58d76f3b9749bc4615ecde009470e4bdddb4ba4ab8;dataset:02ef8ebfbf962731bc12993db944c0560fe18f2e430b5ba70b4a01386cd528f0;dataset:17ec8795e0c6aa06925f2b9ab97070d99a933058b4dae96cd2a9a2dbfcece0d6;dataset:c1f1ed0f3134ebea57061b01d2239d718710066082e618841c46eae3f32e9675;dataset:1d376c55916bd9a48001c370a364448fb612e1f6131da6bbee64a16f492d97ca;dataset:f311723fba434ccf0daf31011307604a7a5fa76a26af8d53aae3c90a8d4c47ce;dataset:3bd892ec369505b9aeb5b5e2451de8c6560ac36a8ed2420836c242ad60d5f181;dataset:812ff791de8e25c60edd05b68affb2944728c43eac62de3809c2b042e51813e8;dataset:b576c9ed367126e3d519493bcf2891cb0533a7c98a657e996c3849041c2bfe1e;dataset:5eb7c572b506bf4dc9b91517cb40c64f0a5905bd991456252f9c4ce622467574;dataset:d447eec4d7b09da0d1148dc1abc768193e951a77731a7de1164d3e41c6f5588f;dataset:9459f2cfb354cccb664ba509af6167f50a5c2c469e6b226acdd5aa0ba65ce336","odata_n_ois.o_otc_derivative_counterparty;odata_n_tit.d_ref_future_properties;odata_n_tit.d_ref_instrument;odata_n_ois.g_hk_counterparty;odata_n_tit.d_margin_plan;odata_n_tit.d_ref_otc_contr_margin_param;odata_n_tit.d_ref_book;odata_n_tit.d_ref_ctpty_mapping;odata_n_tit.d_trd_otc_contr_props;odata_n_tit.d_trd_bundle_info;odata_n_tit.d_trd_otc_trade;odata_n_tit.d_trd_otc_contr_report"
"63217","63413","1.000000","dataset:1acee60d87b7859169e1120ab49d26bfc8fd34f39cdd2649af096dadaf8e839d;dataset:18cfa37d136d5ef0881ba83490a11d53dcac458f16d3ee8a08520844cbe7b351;dataset:f093573265f9157cded6b63450407fd3f39a7abeb05fc28582029de1dd9556a5","odata_n_ecr.s_v_crm_account_info;odata_n_ecr.s_v_crm_acc_addr;odata_n_ecr.s_v_crm_acc_credentials"
"63217","63667","0.590226","dataset:1acee60d87b7859169e1120ab49d26bfc8fd34f39cdd2649af096dadaf8e839d;dataset:18cfa37d136d5ef0881ba83490a11d53dcac458f16d3ee8a08520844cbe7b351","odata_n_ecr.s_v_crm_account_info;odata_n_ecr.s_v_crm_acc_addr"
"63413","63667","0.590226","dataset:1acee60d87b7859169e1120ab49d26bfc8fd34f39cdd2649af096dadaf8e839d;dataset:18cfa37d136d5ef0881ba83490a11d53dcac458f16d3ee8a08520844cbe7b351","odata_n_ecr.s_v_crm_account_info;odata_n_ecr.s_v_crm_acc_addr"
"63187","67899","1.000000","dataset:33f5986f973b5bdcbd316310867fee84e9acb40757f546df3831e5969f722b97;dataset:ad64c3508dffeecb5dcdc1d8a8b5816e423c365608d092eef7745e84c078a82d","odata_ecif.ecif_e_t00_cust_acct_ref_s;odata_ecif.ecif_e_t01_cust_base_info_s"
"63212","63385","0.550823","dataset:23971273c9efa81359c29c22e467ad722013c2e8a9618242de6b9f7299e04515;dataset:6a21b5024b08c642c9f5f5e9b64ab9b7b7e87501d04c8d0f158f78e75f8461cd","odata_n_ta5.d_ta_tcustomerinfo;odata_n_ta5.d_ta_taccoinfo"
"63212","63605","0.710362","dataset:23971273c9efa81359c29c22e467ad722013c2e8a9618242de6b9f7299e04515;dataset:6a21b5024b08c642c9f5f5e9b64ab9b7b7e87501d04c8d0f158f78e75f8461cd","odata_n_ta5.d_ta_tcustomerinfo;odata_n_ta5.d_ta_taccoinfo"
"63212","63753","1.000000","dataset:23971273c9efa81359c29c22e467ad722013c2e8a9618242de6b9f7299e04515;dataset:6a21b5024b08c642c9f5f5e9b64ab9b7b7e87501d04c8d0f158f78e75f8461cd","odata_n_ta5.d_ta_tcustomerinfo;odata_n_ta5.d_ta_taccoinfo"
"63385","63753","0.550823","dataset:23971273c9efa81359c29c22e467ad722013c2e8a9618242de6b9f7299e04515;dataset:6a21b5024b08c642c9f5f5e9b64ab9b7b7e87501d04c8d0f158f78e75f8461cd","odata_n_ta5.d_ta_tcustomerinfo;odata_n_ta5.d_ta_taccoinfo"
"63605","63753","0.710362","dataset:23971273c9efa81359c29c22e467ad722013c2e8a9618242de6b9f7299e04515;dataset:6a21b5024b08c642c9f5f5e9b64ab9b7b7e87501d04c8d0f158f78e75f8461cd","odata_n_ta5.d_ta_tcustomerinfo;odata_n_ta5.d_ta_taccoinfo"
"63238","63611","1.000000","dataset:ccaaf92e6faf8f6e82209720115a095833858410e7d11371f96cc4a2bffa0188;dataset:e1eaae56e560b2ba53a81136aca353135888bafd0a81ada1e5b12fe47333545f","odata_n_rcc.a_client;odata_n_rcc.a_clientinfo"
"63238","63671","1.000000","dataset:ccaaf92e6faf8f6e82209720115a095833858410e7d11371f96cc4a2bffa0188;dataset:e1eaae56e560b2ba53a81136aca353135888bafd0a81ada1e5b12fe47333545f","odata_n_rcc.a_client;odata_n_rcc.a_clientinfo"
"63611","63671","1.000000","dataset:ccaaf92e6faf8f6e82209720115a095833858410e7d11371f96cc4a2bffa0188;dataset:e1eaae56e560b2ba53a81136aca353135888bafd0a81ada1e5b12fe47333545f","odata_n_rcc.a_client;odata_n_rcc.a_clientinfo"
"185234","211619","1.000000","dataset:f9ac02bef325e879ffefb66eaf19ba8cf72f081ebd6896834b7abde2cf028a1d;dataset:f92608c1cde34bca7fdbb72c0b3c7336229965b220aa3d1a4e247539b2b92b79","pdata_news_n.t02_pub_cst_info;pdata_n.t98_otc_swap_comp_leg_valu_info"
"149053","149054","0.708458","dataset:716d3568cd093feec6fa8adce1b69c9625239d07958c94d9d9ae10e1e826cf5d;dataset:bbb7a4d4171e4a0fcbbbd5b332adaf6d2bf81a98eea572781976a99c551334df;dataset:9005f66da3a3b019e023cf016ea929dfdf8f784438b1a6f74712c0463b9612cd;dataset:d1b2a8226617870031d1200e6162c69b080f909d1ef11b0d50342b0b6f1e018d;dataset:a267bb2011c7c9e94035aa011a3d27908c282562f224b34100f527708a1e9297;dataset:ebfd0f52b4c68bf9628b81ae0cc30dbf6ef97ed9ed4adf909ae4d4118be2dc2f","pdata_n.t04_inr_org_stati_info_h;pdata_n.t04_user_emp_rela_h;pdata_nds.s_cx_custody_rel;pdata_n.t03_prd_cstd_unit_adtnl_info;pdata_n.t98_inr_org_map;pdata_n.t04_inr_org_div_rati_h"
