consumerTaskId,taskCategory,table,readOccurrenceId,identityStatus,partitionPredicateStatus,evidencePath,projectionPath
"136594","sparkIndex","dm_index_n.index_grp1_ast","task:136594:statement:0:relation:root.casttable.setop.b0.cust.cust_list.asset.read.index_grp1_ast","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\136594\versions\9da0eea628489e5f40865563c9675325b7809b55ebfe80e55bc8a8d05cd6ec52.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\136594\versions\9da0eea628489e5f40865563c9675325b7809b55ebfe80e55bc8a8d05cd6ec52.json"
"137467","sparkIndex","dm_index_n.grp_tag_client_is_mts_qual_pcus","task:137467:statement:0:relation:root.casttable.t1.read.grp_tag_client_is_mts_qual_pcus","CONFIRMED","LITERAL","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\137467\versions\5bd06d19028110692c736d57773ae2e72d373a9dea1dedd01b37ca90006e551a.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\137467\versions\5bd06d19028110692c736d57773ae2e72d373a9dea1dedd01b37ca90006e551a.json"
"137467","sparkIndex","dm_index_n.grp_tag_client_is_elig_match_mts","task:137467:statement:0:relation:root.casttable.t5.read.grp_tag_client_is_elig_match_mts","CONFIRMED","LITERAL","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\137467\versions\5bd06d19028110692c736d57773ae2e72d373a9dea1dedd01b37ca90006e551a.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\137467\versions\5bd06d19028110692c736d57773ae2e72d373a9dea1dedd01b37ca90006e551a.json"
"137467","sparkIndex","dm_index_n.index_grp1_palprop_stkast_hy_nothremark","task:137467:statement:0:relation:root.casttable.t7.t.setop.b0.setop.b0.setop.b0.read.index_grp1_palprop_stkast_hy_nothremark","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\137467\versions\5bd06d19028110692c736d57773ae2e72d373a9dea1dedd01b37ca90006e551a.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\137467\versions\5bd06d19028110692c736d57773ae2e72d373a9dea1dedd01b37ca90006e551a.json"
"137467","sparkIndex","dm_index_n.index_grp1_palprop_stkast_year_nothremark","task:137467:statement:0:relation:root.casttable.t7.t.setop.b0.setop.b0.setop.b1.read.index_grp1_palprop_stkast_year_nothremark","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\137467\versions\5bd06d19028110692c736d57773ae2e72d373a9dea1dedd01b37ca90006e551a.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\137467\versions\5bd06d19028110692c736d57773ae2e72d373a9dea1dedd01b37ca90006e551a.json"
"137467","sparkIndex","dm_index_n.index_grp1_palprop_stkast_treyear_nothremark","task:137467:statement:0:relation:root.casttable.t7.t.setop.b0.setop.b1.read.index_grp1_palprop_stkast_treyear_nothremark","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\137467\versions\5bd06d19028110692c736d57773ae2e72d373a9dea1dedd01b37ca90006e551a.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\137467\versions\5bd06d19028110692c736d57773ae2e72d373a9dea1dedd01b37ca90006e551a.json"
"137467","sparkIndex","dm_index_n.index_grp1_tr_stkfnd_mth_retandorgcntr_recent_1y","task:137467:statement:0:relation:root.casttable.t7.t.setop.b1.read.index_grp1_tr_stkfnd_mth_retandorgcntr_recent_1y","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\137467\versions\5bd06d19028110692c736d57773ae2e72d373a9dea1dedd01b37ca90006e551a.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\137467\versions\5bd06d19028110692c736d57773ae2e72d373a9dea1dedd01b37ca90006e551a.json"
"140633","sparkIndex","pdata_n.t03_intel_cond_ord","task:140633:statement:0:relation:root.casttable.a.read.t03_intel_cond_ord","CONFIRMED","LITERAL","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\140633\versions\4fb72f92d0417ee62472436fa44a54574d93e1c957cadeabcd75d998f9ea1c5a.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\140633\versions\4fb72f92d0417ee62472436fa44a54574d93e1c957cadeabcd75d998f9ea1c5a.json"
"143497","hive2postgre","dm_om_n.wt_taum_emp_indi_dim_data","task:143497:statement:0:relation:root.k.read.wt_taum_emp_indi_dim_data","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\143497\versions\be11fdd04a6f68e6ab978c6a1cef48332a294291e4454d53b207bd393d843fca.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\143497\versions\be11fdd04a6f68e6ab978c6a1cef48332a294291e4454d53b207bd393d843fca.json"
"144891","sparkIndex","pdata_n.t05_wecom_kyc_auth_evt","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.cwr.read.t05_wecom_kyc_auth_evt","CONFIRMED","NON_LITERAL_PRESENT","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\144891\versions\75f7379c0e382e1e94e32568ccc3e37cfdcf27a38b2fda0c754b56b5ea069577.evidence-v3.json","E:\02_area\股衍数据-数据cookbook\sql-static-lineage-data\task-projections\tasks\144891\versions\75f7379c0e382e1e94e32568ccc3e37cfdcf27a38b2fda0c754b56b5ea069577.json"
