consumerTaskId,readOccurrenceId,table,status,candidateTaskIds,candidateCount,confirmedCount,partitionStatuses,gapReasons
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_indv_cust_bse_bcust_flag","dm_index_n.grp_tag_indv_cust_bse_bcust_flag","FULLY_CONFIRMED","112835","1","1","CONFIRMED",""
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_client_cust_whth_stib_pcus","dm_index_n.grp_tag_client_cust_whth_stib_pcus","FULLY_CONFIRMED","135973","1","1","CONFIRMED",""
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_client_potn_flag","dm_index_n.grp_tag_client_potn_flag","FULLY_CONFIRMED","121726","1","1","CONFIRMED",""
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_client_potn_gem_cust_flag","dm_index_n.grp_tag_client_potn_gem_cust_flag","FULLY_CONFIRMED","121401","1","1","CONFIRMED",""
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_client_cust_whth_leav_actv_pcus","dm_index_n.grp_tag_client_cust_whth_leav_actv_pcus","FULLY_CONFIRMED","135972","1","1","CONFIRMED",""
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_client_cust_whth_neeq_pcus","dm_index_n.grp_tag_client_cust_whth_neeq_pcus","FULLY_CONFIRMED","141103","1","1","CONFIRMED",""
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_client_is_elig_std_covt_bond","dm_index_n.grp_tag_client_is_elig_std_covt_bond","FULLY_CONFIRMED","119797","1","1","CONFIRMED",""
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_client_is_mts_purp","dm_index_n.grp_tag_client_is_mts_purp","FULLY_CONFIRMED","200180","1","1","CONFIRMED",""
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_client_cust_mts_type","dm_index_n.grp_tag_client_cust_mts_type","FULLY_CONFIRMED","199760","1","1","CONFIRMED",""
"144891","task:144891:statement:0:relation:root.(child).a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.khxx.setop.b0.a.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b0.setop.b1.read.grp_tag_indv_cust_is_high_age_pty","dm_index_n.grp_tag_indv_cust_is_high_age_pty","FULLY_CONFIRMED","207560","1","1","CONFIRMED",""
